contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
entailment || three men in orange suits are doing street repairs at night. || three men are doing repairs.
contradiction || three men in orange suits are doing street repairs at night. || three men in orange suits escaped from prison.
contradiction || a boy lying on a hospital bed with his leg hanging over the side. || a little girl lays on a hospital bed
entailment || a boy lying on a hospital bed with his leg hanging over the side. || a kid is at the hospital
neutral || a boy lying on a hospital bed with his leg hanging over the side. || a kid broke his leg
neutral || two people are participating in the sport fencing. || two people competing in a fencing tournament
entailment || two people are participating in the sport fencing. || two people holding fencing swords
contradiction || two people are participating in the sport fencing. || two people playing dodgeball
contradiction || a boy on a skateboard in midair || the boy is riding his board.
contradiction || a boy on a skateboard in midair || the boy is doing a jump on rollerblades.
neutral || a boy on a skateboard in midair || the boy is doing a trick.
contradiction || a man biking down a tunnel. || a man is playing video games.
entailment || a man biking down a tunnel. || a person is on a bike.
neutral || a man biking down a tunnel. || a man is winning a bike race.
contradiction || a man and a woman jumping with a lake in the background. || they are swimming in the lake.
entailment || a man and a woman jumping with a lake in the background. || there is a man and a woman.
neutral || a man and a woman jumping with a lake in the background. || they have been swimming.
neutral || a man throws his young boy playfully into the air standing on a beach. || a dad and son is playing on the beach.
entailment || a man throws his young boy playfully into the air standing on a beach. || a man and a boy is playing on the beach.
entailment || three children are shooting guns in the woods. || three children are in a forested area.
contradiction || three children are shooting guns in the woods. || three children are making a cup of tea together.
contradiction || three children are shooting guns in the woods. || three children are shooting a deer.
contradiction || people are hiking up a mountain with no greenery. || people are playing video games.
neutral || people are hiking up a mountain with no greenery. || the hikers have backpacks.
contradiction || people are hiking up a mountain with no greenery. || the mountain is bare.
entailment || an individual is crouched down on top of rocks underneath a blue sky. || a woman is taking a picture outdoors
contradiction || an individual is crouched down on top of rocks underneath a blue sky. || a woman is inside at the movies
entailment || an individual is crouched down on top of rocks underneath a blue sky. || a person is outside
neutral || a woman and two men, that are dressed professionally, are having a discussion. || a woman and two men are having a discussion about freedom.
contradiction || a woman and two men, that are dressed professionally, are having a discussion. || a woman and two men are negotiating a threesome.
entailment || a woman and two men, that are dressed professionally, are having a discussion. || a woman and two men are talking amongst themselves.
neutral || a man in an argyle shirt bends down to look at the goodies through the glass in an asian shop. || a man is blowing out his birthday cake.
entailment || a man in an argyle shirt bends down to look at the goodies through the glass in an asian shop. || a man is out in public.
neutral || a man in an argyle shirt bends down to look at the goodies through the glass in an asian shop. || the adult is shopping for a gift.
entailment || people buy fruits and vegetables at an open air market. || people buy produce at a market.
contradiction || people buy fruits and vegetables at an open air market. || people are dancing to music in a club.
neutral || people buy fruits and vegetables at an open air market. || people are shopping for many things at the market.
contradiction || two workers, one in a ditch and one standing on the ground, are working in front of a house. || the workers are sleeping.
neutral || two workers, one in a ditch and one standing on the ground, are working in front of a house. || the workers are working infront of the house
contradiction || two workers, one in a ditch and one standing on the ground, are working in front of a house. || the workers are standing on the ground
neutral || a man in khakis sitting at a table with a sign that reads "poet for hire." || the guy is looking for a job.
entailment || a man in khakis sitting at a table with a sign that reads "poet for hire." || the gentleman is standing by the table.
neutral || a man in khakis sitting at a table with a sign that reads "poet for hire." || the male is a poet.
entailment || people with bags walk along a dirt road in front of a green building. || people are walking outside.
contradiction || people with bags walk along a dirt road in front of a green building. || people are riding a bus.
neutral || people with bags walk along a dirt road in front of a green building. || homeless people are walking outside.
neutral || a balding, heavyset man and a dog are resting beside an ornate monument featuring a greenish statue of a man and a woman. || the man is visiting gettysburg national cemetary in gettysburg pa with his family.
neutral || a balding, heavyset man and a dog are resting beside an ornate monument featuring a greenish statue of a man and a woman. || the man is canoeing down a slowly-moving river, enjoying the noonday sun.
entailment || a balding, heavyset man and a dog are resting beside an ornate monument featuring a greenish statue of a man and a woman. || there are both people and animals in this picture.
neutral || a man in a red shirt is walking towards a blue market stall. || the man wants to purchase some produce.
entailment || a man in a red shirt is walking towards a blue market stall. || the man is walking in a direction.
contradiction || a man in a red shirt is walking towards a blue market stall. || the man is sitting on a bench.
neutral || indy car, white, blue with a red mark on the roof, rounding a turn, in front of the white car. || race cars
entailment || indy car, white, blue with a red mark on the roof, rounding a turn, in front of the white car. || people playing racketball
neutral || indy car, white, blue with a red mark on the roof, rounding a turn, in front of the white car. || a driver passing his opponent on the last lap
contradiction || a young boy sits on the shoulders of a woman, who is carrying a young girl. || a family is at the mall
contradiction || a young boy sits on the shoulders of a woman, who is carrying a young girl. || a woman is driving her kids around
entailment || a young boy sits on the shoulders of a woman, who is carrying a young girl. || a woman is with a couple of children
entailment || a young blond child wearing a black shirt and white shorts looks at the sky with a bridge and water in the background. || a child looks at birds in the sky outside of of a bridge.
contradiction || a young blond child wearing a black shirt and white shorts looks at the sky with a bridge and water in the background. || a child takes a nap on a couch.
entailment || a young blond child wearing a black shirt and white shorts looks at the sky with a bridge and water in the background. || a child looks at the sky outside.
entailment || she is cooking food while wearing a dress. || a woman in a dress cooks food.
contradiction || she is cooking food while wearing a dress. || a woman in a dress prepares a steak.
contradiction || she is cooking food while wearing a dress. || a woman in a dress dances in the club.
contradiction || four dogs of varying breeds running through a field. || various dogs sleeping in a house.
entailment || four dogs of varying breeds running through a field. || some animals outdoors.
entailment || four dogs of varying breeds running through a field. || some dogs playing in grass.
neutral || a choir practicing in a church. || a choir is preparing to sing for a wedding.
entailment || a choir practicing in a church. || a group of singers sings.
contradiction || a choir practicing in a church. || a group of people is yelling and shouting.
entailment || two men wearing black smile while a seated woman behind them looks tired. || the woman looks weary.
neutral || two men wearing black smile while a seated woman behind them looks tired. || the woman looks like she's full of energy.
neutral || two men wearing black smile while a seated woman behind them looks tired. || the woman had a long day.
neutral || a young boy in a red shirt is wearing a helmet while sitting on a motorcycle. || a young boy wears a helmet and biking boots.
entailment || a young boy in a red shirt is wearing a helmet while sitting on a motorcycle. || a young boy wears a helmet while on a motorcycle.
neutral || a young boy in a red shirt is wearing a helmet while sitting on a motorcycle. || a young boy is watering some plants.
entailment || two children play in the snow by the side of the road. || kids are building a snow man.
contradiction || two children play in the snow by the side of the road. || toddles are roasting marshmallows.
neutral || two children play in the snow by the side of the road. || kids are enjoying the cold weather.
entailment || a man in a yellow shirt and helmet mountain biking down a dusty path. || a man with headphones is biking.
entailment || a man in a yellow shirt and helmet mountain biking down a dusty path. || a man is biking down a path.
contradiction || a man in a yellow shirt and helmet mountain biking down a dusty path. || a woman is jogging down a road.
neutral || a man is throwing something into the road. || a man throws salt on a snowy road.
entailment || a man is throwing something into the road. || a man is near the road.
contradiction || a man is throwing something into the road. || a man paints a house.
contradiction || a skier being helped onto a red stretcher by three men, while two other men and a woman prepare to help. || a skier is standing on a blue stretcher while three men watch excitedly
neutral || a skier being helped onto a red stretcher by three men, while two other men and a woman prepare to help. || an injured skier being taken for medical help
entailment || a skier being helped onto a red stretcher by three men, while two other men and a woman prepare to help. || three men help a skier
neutral || young children play on scaffolding. || happy children play on scaffolding.
entailment || young children play on scaffolding. || young men play on scaffolding.
entailment || young children play on scaffolding. || young people play on scaffolding.
contradiction || a black woman is sitting on the beach examining an octopus. || the woman is folding the laundry
neutral || a black woman is sitting on the beach examining an octopus. || the woman has been fishing in the ocean
entailment || a black woman is sitting on the beach examining an octopus. || there is a woman outside.
entailment || two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water. || pebbles are being thrown into a body of water by two boys.
entailment || two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water. || the body of water is a lake.
contradiction || two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water. || the two young boys are playing kickball at the park.
contradiction || two men working on the roof of an apartment building with a nice looking skyline behind them. || two men working on the roof of an apartment building
contradiction || two men working on the roof of an apartment building with a nice looking skyline behind them. || two men not working on the roof of an apartment building
neutral || two men working on the roof of an apartment building with a nice looking skyline behind them. || two men joyously working on the roof of an apartment building
contradiction || a man trying his hardest to climb up a rope. || the man climbing the rope is escaping a swarm of bed bugs.
entailment || a man trying his hardest to climb up a rope. || a man is climbing a rope.
neutral || a man trying his hardest to climb up a rope. || the man climbing a rope to get to the top.
neutral || a woman wearing a red hat and red bandanna followed by a man in a red bandanna. || the couple are wearing yellow bandanas.
neutral || a woman wearing a red hat and red bandanna followed by a man in a red bandanna. || the woman is a dirty hippie.
entailment || a woman wearing a red hat and red bandanna followed by a man in a red bandanna. || the people are wearing bandanas.
entailment || a young girl wearing a flora shirt is sitting in tub in brown water with the remnants of a snake. || a girl is sitting in dirty water with a snake's skin in her hands
contradiction || a young girl wearing a flora shirt is sitting in tub in brown water with the remnants of a snake. || a girl is sitting on her couch coloring her fingernails.
contradiction || a young girl wearing a flora shirt is sitting in tub in brown water with the remnants of a snake. || a girl is sitting in a tub with part of a snake.
contradiction || a green and white trolley car with an advertisement of coffee on the side and front of it in a city. || a taxi cab with two women in the backseat talking on their cellphones.
neutral || a green and white trolley car with an advertisement of coffee on the side and front of it in a city. || a trolley taking people to work and school.
neutral || a green and white trolley car with an advertisement of coffee on the side and front of it in a city. || a trolley making it's way through a city.
neutral || a young woman with a black hat and red and black jacket, swings on a red-orange ball attached to a blue rope. || the young woman removes her clothes, "i came in like wrecking ball!"
neutral || a young woman with a black hat and red and black jacket, swings on a red-orange ball attached to a blue rope. || a young woman is playing on a red-orange ball attached to a blue rope.
neutral || a young woman with a black hat and red and black jacket, swings on a red-orange ball attached to a blue rope. || the photo is taking place in a gym.
contradiction || a girl in a yellow dress looks at a restaurant building. || a girl watches everybody loves raymond.
neutral || a girl in a yellow dress looks at a restaurant building. || a girl debates eating at a certain restaurant.
entailment || a girl in a yellow dress looks at a restaurant building. || a girl in front of a building.
entailment || four people walking beside each other down a street, one of the men is turned around looking toward the camera. || four people are walking
contradiction || four people walking beside each other down a street, one of the men is turned around looking toward the camera. || four people are sleeping at home
neutral || four people walking beside each other down a street, one of the men is turned around looking toward the camera. || a group of friends are headed to wendys
contradiction || a man is squatting on the ground. || a man is in his bed asleep.
entailment || a man is squatting on the ground. || a man is near the ground.
neutral || a man is squatting on the ground. || a man is searching for something he dropped.
contradiction || a group of people gather around a truck. || a group of people sit in the living room.
contradiction || a group of people gather around a truck. || a group of people gather near the monster truck.
entailment || a group of people gather around a truck. || a group are gathered near a vehicle.
neutral || a woman is cutting into a sandwich while sitting at an outdoor table. || the lady on the table is cutting her sandwhich
entailment || a woman is cutting into a sandwich while sitting at an outdoor table. || the lady on the table is leeping
contradiction || a woman is cutting into a sandwich while sitting at an outdoor table. || the lady on the table is cutting here sandwich is on her cellphone
contradiction || a woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur. || the woman is watching television
entailment || a woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur. || the woman is using a magnification device
neutral || a woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur. || the woman is in an outdoor park
contradiction || stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away. || two players are sitting on a couch.
entailment || stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away. || a football game is being played.
neutral || stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away. || a wide reciever is trying to make a catch.
contradiction || two men outside of a restaurant. || two men are eating inside a restaurant.
contradiction || two men outside of a restaurant. || two men are sitting on the restaurant patio.
entailment || two men outside of a restaurant. || two men are outside.
entailment || army men grilling a lot of meat while his troop looks on. || some of the people here have been in the armed forces.
contradiction || army men grilling a lot of meat while his troop looks on. || no animal products can be seen here.
neutral || army men grilling a lot of meat while his troop looks on. || the men here will eat a lot of food soon.
contradiction || a boy splashing through the ocean. || the boy is at the beach.
contradiction || a boy splashing through the ocean. || the boy is in kansas.
contradiction || a boy splashing through the ocean. || the boy is swimming.
contradiction || a little white dog runs outside, their ears blown back in the wind. || the pet is taking a nap.
entailment || a little white dog runs outside, their ears blown back in the wind. || there is an animal outside.
neutral || a little white dog runs outside, their ears blown back in the wind. || a dog is running towards it's owner.
neutral || a woman happy about something. || a happy woman.
neutral || a woman happy about something. || a woman is happy that her husband is home from work.
contradiction || a woman happy about something. || a man is yelling at his wife.
entailment || two women are sitting at a table, one is holding a baby and another child is playing on the floor. || there are two women and two children.
contradiction || two women are sitting at a table, one is holding a baby and another child is playing on the floor. || there are two women and two sleeping children.
neutral || two women are sitting at a table, one is holding a baby and another child is playing on the floor. || two mothers and their children are playing.
contradiction || a group of young cheerleaders in pink and white costumes perform on a stage. || the cheerleaders are sitting in the stands.
contradiction || a group of young cheerleaders in pink and white costumes perform on a stage. || they are holding pom poms.
entailment || a group of young cheerleaders in pink and white costumes perform on a stage. || cheerleaders are performing.
contradiction || a male guitar player is vigorously singing a not to a song in a poorly lit room. || a man is singing indoors.
neutral || a male guitar player is vigorously singing a not to a song in a poorly lit room. || the man is buying a new guitar at the store.
neutral || a male guitar player is vigorously singing a not to a song in a poorly lit room. || someone is playing a song for a group of people.
entailment || a man and woman ride in a mule drawn carriage as the driver points out landmarks. || a man and woman ride a mule
contradiction || a man and woman ride in a mule drawn carriage as the driver points out landmarks. || the couple is driving
contradiction || a man and woman ride in a mule drawn carriage as the driver points out landmarks. || the couple is sleeping.
entailment || a photographer carefully sets up his camera on a tripod and prepares to take the shot amidst the scenic background. || a man has a camera in the woods.
entailment || two uniformed women, wearing jackets saying "politie" on the back, are looking at each other in front of a crowd. || the crowd are composed of one person.
neutral || two uniformed women, wearing jackets saying "politie" on the back, are looking at each other in front of a crowd. || the women are married.
entailment || two uniformed women, wearing jackets saying "politie" on the back, are looking at each other in front of a crowd. || the women are wearing clothes
neutral || a woman wearing glasses and a brown beanie next to a girl with long brown hair holding a book. || a woman is wearing glasses and a brown beanie.
neutral || a woman wearing glasses and a brown beanie next to a girl with long brown hair holding a book. || a woman is wearing glasses and a light brown beanie.
neutral || a woman wearing glasses and a brown beanie next to a girl with long brown hair holding a book. || a woman is wearing glasses and a white beanie.
contradiction || a man is dancing in front of a band. || the man is buying groceries.
neutral || a man is dancing in front of a band. || the man is having a good time.
contradiction || a man is dancing in front of a band. || a man is dancing.
neutral || a group of travelers pulling suitcases are making their way down a platform. || a group of friends are travelling to hawaii.
entailment || a group of travelers pulling suitcases are making their way down a platform. || a group of people are pulling suitcases.
contradiction || a group of travelers pulling suitcases are making their way down a platform. || two couples are drinking a lemonade.
contradiction || a painter with a gray t-shirt and tatted arm sketches a mural with extreme precision and focus. || a painter is sketching.
contradiction || a painter with a gray t-shirt and tatted arm sketches a mural with extreme precision and focus. || a painter has a tattoo of a dragon on his arm.
contradiction || a painter with a gray t-shirt and tatted arm sketches a mural with extreme precision and focus. || a painter is doing a watercolor painting.
contradiction || a young woman is wearing a paper crown at an outdoor event. || the woman is at a ski lodge
neutral || a young woman is wearing a paper crown at an outdoor event. || the woman is at a party
entailment || a young woman is wearing a paper crown at an outdoor event. || the woman is outdoors
contradiction || a man is spinning a little girl in the air above his head. || a man is carrying a little girl off the ground.
neutral || a man is spinning a little girl in the air above his head. || a man is carrying his daughter above his head.
contradiction || a man is spinning a little girl in the air above his head. || a man is playing monopoly with a little girl.
neutral || as a crowd looks on, a player in a white uniform, wearing only one colorful sock, makes a diving catch for the frisbee. || a player falls face first
entailment || as a crowd looks on, a player in a white uniform, wearing only one colorful sock, makes a diving catch for the frisbee. || a player makes a diving catch
neutral || as a crowd looks on, a player in a white uniform, wearing only one colorful sock, makes a diving catch for the frisbee. || a player makes the game winning catch
contradiction || a man on a sidewalk is playing the accordion while happy people pass by. || a man on the sidewalk performs a mime act while angry people glare at him
neutral || a man on a sidewalk is playing the accordion while happy people pass by. || a homeless street musician tries to earn enough to money to survive
neutral || a man on a sidewalk is playing the accordion while happy people pass by. || a man performs for the public
entailment || a young football player watches a game with his coach. || a basketball player watches a game.
entailment || a young football player watches a game with his coach. || two people are watching a game.
neutral || two boys run to the entryway of an old building. || two kids are running after a dog that got away.
neutral || two boys run to the entryway of an old building. || two young men are in a hurry.
neutral || two boys run to the entryway of an old building. || a couple of children are eating popsicles at a birthday party.
contradiction || a group of ladies sit around a black table in front of a brick wall with a building in the background. || the ladies are all seated.
neutral || a group of ladies sit around a black table in front of a brick wall with a building in the background. || the ladies are friends.
contradiction || the dogs are playing on the bed. || dogs fighting each other for the chance to sleep on the bed.
contradiction || the dogs are playing on the bed. || two cats playing on the bed together.
entailment || the dogs are playing on the bed. || dogs playing together inside.
entailment || four kids sitting at a table with food on several plates. || kids eat at a table.
entailment || four kids sitting at a table with food on several plates. || kids play outside.
entailment || four kids sitting at a table with food on several plates. || kids sitting at a table.
entailment || a woman is observing pictures on a camera. || a women observing a camera
neutral || a woman is observing pictures on a camera. || a women purchasing a new camera from the store.
contradiction || a woman is observing pictures on a camera. || a women cradling a baby.
contradiction || a baseball player sliding into a base while a player from the other team tries to catch the ball. || a baseball player not sliding into a base
neutral || a baseball player sliding into a base while a player from the other team tries to catch the ball. || a baseball player joyously sliding into a base
entailment || a baseball player sliding into a base while a player from the other team tries to catch the ball. || a baseball player sliding into a base
contradiction || a brown and white dog swims in a backyard swimming pool. || a dog sleeping on the porch.
entailment || a brown and white dog swims in a backyard swimming pool. || a brown dog swims.
neutral || a brown and white dog swims in a backyard swimming pool. || a brown dog swims with their owner.
neutral || a mother shading her baby with an umbrella as she and her partner climb the stairs. || two fathers maneuver their baby strollers into a foyer.
entailment || a mother shading her baby with an umbrella as she and her partner climb the stairs. || a young woman holds a red umbrella over her infant son as she goes upstairs.
neutral || a mother shading her baby with an umbrella as she and her partner climb the stairs. || a woman protects her child from the sun as they walk to an upper level of a building.
neutral || a man on a skateboard on steps in front glass doors of a brick building. || the brick building had glass doors in front
neutral || a man on a skateboard on steps in front glass doors of a brick building. || the man with the skateboard is waiting for a plane
neutral || a man on a skateboard on steps in front glass doors of a brick building. || the man on the skateboard is going to bounce off the glass doors
entailment || a man playing the guitar while smoking a cigarette. || a man is playing a brown guitar
neutral || a man playing the guitar while smoking a cigarette. || the man is also playing the drums
entailment || a man playing the guitar while smoking a cigarette. || a man is playing guitar
neutral || two young boys are playing with a toy train set on a wood floor. || the boys are having fun playing with the train set.
contradiction || two young boys are playing with a toy train set on a wood floor. || two girls are playing with dolls.
contradiction || two young boys are playing with a toy train set on a wood floor. || the floor is made of wood.
neutral || a group of individuals are sitting together in a room. || the people are celebrating their father's birthday at a local restaurant.
entailment || a group of individuals are sitting together in a room. || there are several people in this picture, and they are all inside.
neutral || a group of individuals are sitting together in a room. || the people are all driving go-carts around a track at their local family fun center.
contradiction || a woman wearing a pink tank top holding a mug of liquid || a woman in a blue tank top holding a car.
contradiction || a woman wearing a pink tank top holding a mug of liquid || a woman is drinking.
contradiction || a woman wearing a pink tank top holding a mug of liquid || a woman in a pink tank top holding a mug.
entailment || a race car, numbered 104 is rounding a bend as two people watch and take pictures. || people are watching a ball game.
neutral || a race car, numbered 104 is rounding a bend as two people watch and take pictures. || people are taking pictures of the indy 500.
entailment || a race car, numbered 104 is rounding a bend as two people watch and take pictures. || people are taking pictures.
entailment || two girls, one wearing a pink shirt and the other wearing a blue shirt, are standing against a wall. || two girls hiding behind a wall.
entailment || two girls, one wearing a pink shirt and the other wearing a blue shirt, are standing against a wall. || girls standing up against a wall.
contradiction || two girls, one wearing a pink shirt and the other wearing a blue shirt, are standing against a wall. || two girls playing hopscotch in an open court.
entailment || the dog's mouth is open like he is yawning. || a dog is yawning
neutral || the dog's mouth is open like he is yawning. || a dog is yawning because he is tired from a walk
entailment || the dog's mouth is open like he is yawning. || a dog is running
entailment || a man with a cap and not wearing shirt is laying a wooden bench. || a bench rests on a man
entailment || a man with a cap and not wearing shirt is laying a wooden bench. || a man relaxes on a bench
entailment || a man with a cap and not wearing shirt is laying a wooden bench. || a person rests on seat
contradiction || a woman in a gray shirt is looking at something. || a woman in a gray shirt looking at her book.
entailment || a woman in a gray shirt is looking at something. || a woman in a gray shirt looking onward.
contradiction || a woman in a gray shirt is looking at something. || a woman in a red shirt baking a cake.
neutral || a woman plays in the wind, with a furry brown dog. || the dog is a shitzu.
contradiction || a woman plays in the wind, with a furry brown dog. || the crazy cat lady is scooping the litter box.
entailment || a woman plays in the wind, with a furry brown dog. || a woman is playing with her dog.
contradiction || a young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces. || a girl chokes out a boy with shoelaces
neutral || a young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces. || a girl helps a boy tie his shoes
neutral || a young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces. || a girl helps her brother tie his shoes
entailment || a man holding girl at top of a slide || a man with a girl on a swing.
entailment || a man holding girl at top of a slide || a man with a girl playing.
neutral || a man holding girl at top of a slide || a man telling the girl not be scared on top of a silde.
neutral || two girls pass two boys by a tree in a neon lit street. || some kids pass their friends on a street.
neutral || two girls pass two boys by a tree in a neon lit street. || some kids eat dinner with their families.
entailment || two girls pass two boys by a tree in a neon lit street. || some kids pass other kids on a street.
contradiction || a group of people in bright green vests are purchasing food. || a group of people standing around waiting for a bus.
neutral || a group of people in bright green vests are purchasing food. || a group of people in green vests purchase food for lunch.
entailment || a group of people in bright green vests are purchasing food. || a group of people buy food.
contradiction || a dog is running parallel with the ocean waves. || the pet is eating.
entailment || a dog is running parallel with the ocean waves. || a dog is on the beach.
neutral || a dog is running parallel with the ocean waves. || a dog is running towards its owner.
entailment || a city street corner with two passing bicyclists and several pedestrians. || the people are in a city.
contradiction || a city street corner with two passing bicyclists and several pedestrians. || the people are indoors.
neutral || a city street corner with two passing bicyclists and several pedestrians. || the traffic is busy.
entailment || a woman is leaning against a wall with her shoe off. || a woman is standing in high heels, leaning against a wall.
contradiction || a woman is leaning against a wall with her shoe off. || a woman has her shoe off to adjust her sock.
contradiction || a woman is leaning against a wall with her shoe off. || a woman is wearing only one shoe.
contradiction || this man is working with an i-pad. || the man is typing a paper
entailment || this man is working with an i-pad. || the man has a pc
contradiction || this man is working with an i-pad. || the man is eating lunch
entailment || a man wearing a red shirt is quickly polishing a light wooden floor with a small green towel next to a yellow can of wood silk. || a man polishes a floor next to a can
entailment || a man wearing a red shirt is quickly polishing a light wooden floor with a small green towel next to a yellow can of wood silk. || a man polishes a floor
contradiction || a man wearing a red shirt is quickly polishing a light wooden floor with a small green towel next to a yellow can of wood silk. || a man sleep
neutral || two little girls dancing on the floor || two kids happily jiving on the dance floor.
entailment || two little girls dancing on the floor || two kids playing on the playground.
entailment || two little girls dancing on the floor || two kids jiving on the dance floor.
neutral || a woman with brown hair wearing a white shirt is standing in a doorway surrounded by baskets as a woman in a red shirt passes by. || the woman is wearing a skirt.
neutral || a woman with brown hair wearing a white shirt is standing in a doorway surrounded by baskets as a woman in a red shirt passes by. || the woman is blonde.
entailment || a woman with brown hair wearing a white shirt is standing in a doorway surrounded by baskets as a woman in a red shirt passes by. || a woman is wearing a white shirt.
contradiction || a public speaker in a plaid shirt speaks on the microphone. || a man is wearing a suit.
entailment || a public speaker in a plaid shirt speaks on the microphone. || a person addresses a crowd.
neutral || a public speaker in a plaid shirt speaks on the microphone. || a man gives a speech about the economy.
contradiction || men playing basketball, the guy with the ball is attempting a layup. || men are playing basketball.
contradiction || men playing basketball, the guy with the ball is attempting a layup. || men are playing basketball, the guy with the ball is shooting a free throw.
neutral || men playing basketball, the guy with the ball is attempting a layup. || men are playing basketball as one guy wins the game by attempting a layup.
entailment || large brown dog walking in shallow water. || a brown dog is walking outside
contradiction || large brown dog walking in shallow water. || a dog is lying on the carpet.
entailment || large brown dog walking in shallow water. || an animal is in water
neutral || an old man in a gray shirt smiles at the camera while doing laundry in a small room. || the man is old
contradiction || an old man in a gray shirt smiles at the camera while doing laundry in a small room. || the man frowns at the camera
neutral || an old man in a gray shirt smiles at the camera while doing laundry in a small room. || the man is a father
contradiction || red-haired female answers questions while sitting at a table for craftzine. || the blonde lawyer refused to comment.
neutral || red-haired female answers questions while sitting at a table for craftzine. || she answers questions while sitting at a table.
neutral || red-haired female answers questions while sitting at a table for craftzine. || the pr rep fielded questions during the interview.
neutral || a skateboard is grinding on a curb with his skateboard. || the curb is dangerous.
neutral || a skateboard is grinding on a curb with his skateboard. || the skateboard is grinding.
contradiction || a skateboard is grinding on a curb with his skateboard. || the skateboard is resting.
entailment || the players manuever for the soccer ball. || soccer players play outside.
neutral || the players manuever for the soccer ball. || soccer players are trying to get the ball.
contradiction || the players manuever for the soccer ball. || bowlers are eating sandwiches.
neutral || a girl in a hat has some sort of insect on her finger. || a female has a bee on her hand.
contradiction || a girl in a hat has some sort of insect on her finger. || the hat wearing girl is petting a cat.
entailment || a girl in a hat has some sort of insect on her finger. || the girl is in contact with an insect.
entailment || a teenage girl in a crowd of people looking up at something. || somebody saw something in the sky
contradiction || a teenage girl in a crowd of people looking up at something. || no one saw the rainbow in the sky
entailment || a teenage girl in a crowd of people looking up at something. || there was a group of people present
entailment || a group of dogs stand in the snow. || there are animals outdoors.
neutral || a group of dogs stand in the snow. || some animals are forced to stand still in snow.
contradiction || a group of dogs stand in the snow. || a woman in neon green hails a cab alone.
neutral || a man wearing a headscarf and loincloth is laying and smoothing an asphalt surface near a forest on a hot day. || the headscarf is a gift.
neutral || a man wearing a headscarf and loincloth is laying and smoothing an asphalt surface near a forest on a hot day. || the day is hot.
contradiction || a man wearing a headscarf and loincloth is laying and smoothing an asphalt surface near a forest on a hot day. || the man is completely nude.
neutral || a hurried bicycler moves along a car in a busy street on an allowed bike path. || the cyclist is traveling faster than the cars.
entailment || a hurried bicycler moves along a car in a busy street on an allowed bike path. || the cyclist is riding on water.
entailment || a hurried bicycler moves along a car in a busy street on an allowed bike path. || the cyclist rides on a public street.
neutral || people in front of waterfront, 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water. || a family is enjoying the outdoors with their boy
entailment || people in front of waterfront, 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water. || people hanging outside by the water
contradiction || people in front of waterfront, 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water. || 3 people are seated with their backs against each other
entailment || two guys one in a red jacket the other in a leaf print shirt cutting cakes, they look ready to dig in. || the guy's jacket is red.
entailment || two guys one in a red jacket the other in a leaf print shirt cutting cakes, they look ready to dig in. || the guy is wearing a cap.
entailment || two guys one in a red jacket the other in a leaf print shirt cutting cakes, they look ready to dig in. || a guy is wearing a red jacket.
entailment || a little kid in the middle of a debris field is kicking a soccer ball. || a youngster is paddling a canoe.
neutral || a little kid in the middle of a debris field is kicking a soccer ball. || a boy is getting filthy while playing in the wreckage of a fallen building.
entailment || a little kid in the middle of a debris field is kicking a soccer ball. || a child is exercising among garbage.
contradiction || a woman in a white shirt inspects a black garment while sitting in a chair at a festival. || a woman drinks a beer.
entailment || a woman in a white shirt inspects a black garment while sitting in a chair at a festival. || a woman inspects a garment.
neutral || a woman in a white shirt inspects a black garment while sitting in a chair at a festival. || a woman checks for a stain on her son's shirt at the festival.
contradiction || a young man throws a frisbee to a frisbee-golf goal. || a man throwing a frisbee.
entailment || a young man throws a frisbee to a frisbee-golf goal. || a man digging a hole.
neutral || a young man throws a frisbee to a frisbee-golf goal. || a man playing in a tournament.
entailment || three people are sitting at a small table near a screen with the words, "demos, the business of care." || a trio of humans is sitting.
entailment || three people are sitting at a small table near a screen with the words, "demos, the business of care." || three humans are practicing their square-dancing moves.
neutral || three people are sitting at a small table near a screen with the words, "demos, the business of care." || there are some people at a business meeting.
neutral || a group of three men and two woman sitting at a table that has food, drinks, and a game on it. || the people are tourists
entailment || a group of three men and two woman sitting at a table that has food, drinks, and a game on it. || some people are sitted
contradiction || a group of three men and two woman sitting at a table that has food, drinks, and a game on it. || the people are standing at the cliff
contradiction || an atv rides over a vast sandy landscape. || the rider is in his garage
neutral || an atv rides over a vast sandy landscape. || the rider is following his friends in the sand.
