Test Accuracy : 0.4711
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
entailment || entailment || these are data even an econometrician should be able to understand. || an econometrician should be able to comprehend this data. 
entailment || entailment || the most easily accessible of them is rumtek, built in 1968 after china drove the maroon-robed tibetan monks of the karmapa sect into exile. || rumtek was built in 1968 after china exiled tibetan monks.  
contradiction || contradiction || thus, there is a business incentive for any postal provider (who is not simply a cream skimmer) to offer universal service within the territories it serves. || postal providers do not desire to provide service to everyone in their territories. 
entailment || entailment || for example, critics pilloried ultimate fighting because competitors fought with bare  to a nation accustomed to boxing gloves, this seemed revolting, an invitation to brain damage. || ultimate fighting drew criticism for eschewing protections like boxing gloves which struck some as too savage.
contradiction || contradiction || they could not travel upriver because several sets of cataracts blocked passage and they did not know that the waters traveled from the heartland of africa. || the river has no cataracts, so travel up the river is easy.  
entailment || entailment || something with uh a cuisine that's a little bit you know more sophisticated like an italian or french restaurant or something like that || something a little more sophisticated like italian or french cuisine.
contradiction || contradiction || to me yeah to yeah to me yeah well || no, not to me. never!
entailment || entailment || was it worth the loss?' asked ca'daan. || ca'daan asked the person a question.
contradiction || contradiction || application illustrates findings established by other techniques, supplementing, for example, national findings on clean air from administrative records and other sources, with in-depth description on how funds have been used and with what results in selected cities. || there has been no followup on how funds have been spent.
contradiction || contradiction || the articles he has authored include between principles and  the direction of united states citizenship policy (carnegie endowment of international peace, 1998), and a multicultural nationalism? || a multicultural nationalism? wasn't one of the articles he authored.
neutral || neutral || cinemas on the champs-elysees, in montparnasse, st-germain-des-pres, bastille, and the forum des halles all show vo movies. || cinemas on the champs-elysees specialize in german and dutch movies.
contradiction || neutral || gao will provide electronic copies of reports to agencies upon issuance or release. || the gao's reports are of profound importance and must be delivered on time.
contradiction || contradiction || colonel harland,' natalia's tiny palm was consumed by the colonel's gigantic paw. || colonel harland stared at natalia and refused to shake her hand.
contradiction || contradiction || it's always wise to price items in more than one shop before deciding what and where to buy, as costs tend to vary. || these shops must all conform to a standard and price their items identically.
contradiction || contradiction || in our model, the level of national saving affects investment and, in turn, gdp growth. || the level of investments does not change based on national saving.
entailment || entailment || in the baptism of christ (1470) of verrocchio, you can see the earliest identified work of his most famous pupil, leonardo da vinci the background landscape and the angel on the left, beautiful enough to reduce his companion angel to wide-eyed jealousy. || verrocchio worked on a painting called the baptism of christ in 1470.
neutral || neutral || two sticks fell away clutching gushing wounds deep in their forearms. || they died shortly after falling. 
contradiction || neutral || and uh then moved to dallas about three years ago so || i did not want to move to texas.
neutral || neutral || also needed excellent communication skills if they were to effectively fulfill their roles as consultants and facilitators for business managers who were less technically expert regarding computers and telecommunications. || most business managers receive technical advice better from patient consultants.
contradiction || entailment || but uh they're they're the closest by team to raleigh north carolina || there's no other team close to raleigh north carolina.
entailment || contradiction || although kyoto is internationally renowned as the country's de facto cultural capital, nearby nara was the first important home of the imperial court and still boasts many of japan's most important temples and shrines. || nara has not shrines but is known as the country's cultural capital.
contradiction || contradiction || but we kick it further-- the axe-man whispers run to the convict he beheads so the body for our delight || we do not kick it any further from where it was.
neutral || contradiction || with this latter idea in my mind, i examined all the coffeecups most carefully, remembering that it was mrs. cavendish who had brought mademoiselle cynthia her coffee the night before.  || i examined the coffee cups, but forgot it was cynthia who prepared the coffee.
contradiction || contradiction || jon had taken vrenna's amazing diversion to reload his pistols. || jon was asleep while vrenna distracted the men. 
entailment || entailment || yeah oh golly well i live in dallas what what area do you live in || i live in dallas, where do you live?
neutral || entailment || their names appear on the title pages. || the names are on the title page in the book.
neutral || neutral || for the first time banks could offer interest on checking accounts or now accounts. || banks could give customers 2% interest on their checking accounts.
entailment || entailment || his reckless attacks became more careful. || he started to be more cautious when he attacked.
neutral || neutral || figure 1 identifies the practices and provides some examples of how the organizations used them. || figure 1 is the first of ten figures in total.
neutral || neutral || the level of the review and the elements reviewed-for example, architectural reviews, mechanical and electrical interface reviews, or constructability1 reviews-also varied. || architectural reviews contain more elements than the others.
entailment || contradiction || i tried not to judge. || i judged them harshly.
contradiction || neutral || um you know it used to be that communities would take care of their own and that you know the states would take care of the communities and then all of a sudden everybody starting looking to the federal government || the state doesn't care about its' people
contradiction || entailment || the agency also is in danger of losing $470,000 over the next 18 months from the violence against women act, but is appealing that decision, mathews said. || mathews said that the agency is appealing the decision regarding the loss of $470,000 from the violence against women act.
neutral || entailment || the excellent, upscale department store brown thomas is also on grafton street. || grafton street has the upscale store, brown thomas.
contradiction || neutral || key recovery has barely been tested, much less perfected. || lack of testers is causing lack of tests.
neutral || neutral || adrin could see the dust of the months of travel on the leather boots and clothing of these two men. || adrin thought the men looked very tired.
contradiction || contradiction || a veteran keeper lives on the premises, tending the beacon that is visible 65 km (40 miles) out to sea. || the beacon is visible 10 miles into the sea on clear days.
contradiction || contradiction || twenty-one of the 28 heads of notre-dame's kings of judah (see page 33), some retaining traces of their original pigmentation (1220), were found in a bank vault and brought here. || none of the 28 heads of notre-dame's kings of judah were ever found.
contradiction || entailment || the lame vs. the destitute--it could be a great race. || it would be a great race between the destitute and the lame.
contradiction || entailment || look for the graffiti of napoleon's french soldiers on the stone of the towers; they spent some time garrisoned at the mosque and made sure they left their marks for posterity. || napoleonic french soldiers left their graffiti on the mosque
neutral || neutral || in other words, if the stories are true, then the vietnamese got a fabulous bargain. || the vietnamese many have gotten a good bargain on the house. 
entailment || neutral || villena's castle was originally built by moors, though considerable additions were made in the 15th century. || a moat was added onto villena's castle in the fifteenth century.
contradiction || contradiction || washington's state planning has been led by the access to justice board. || washington state is not affiliated with the board.
neutral || entailment || when that happens, democrats will be bound to escalate the confirmation battle once more, to settle their score with hatch. || when it happens, the democrats will make the confirmation battle a priority so that they can get even with hatch. 
entailment || neutral || it is true that no juror can be sure whether his or her doubt is more or less than 5 percent, but it is equally true that no juror can be sure whether his or her doubt is more or less than reasonable. || jurors have a hard time evaluating their own doubts.
neutral || neutral || which suggests that if you really believe that stocks are actually no riskier than a savings account--or, rather, if you believe that everyone else will come to believe this--the dow may still have 3,888 or so points to go. || while there are those that believe that stocks are a harmless investment, these people often have money stashed under the mattress.
neutral || contradiction || france's office de tourisme in your own country and branches in larger towns through?­out france can help you with information, brochures, lists of hotels and bed and breakfasts, names of english-speaking guides, and so forth. || france has no way of helping tourists find information on destinations.
neutral || entailment || before the balanced-budget accord, the gop framed all opposition to its budget cuts as fiscally irresponsible conduct by people committed to everlasting deficits. || the gop's view was that budget cuts will lead to financial problems. 
neutral || contradiction || bedrooms and public rooms with plenty of character lie inside this splendid landmark building dating from the 1930s. || the bedrooms are stark.
contradiction || neutral || she fell, vomiting blood into the dirt. || she threw up three times.
contradiction || neutral || julius reappeared some minutes later, having reassured albert and rewarded him lavishly for his services. || julius reappeard after reassuring albert that the battle would be won.
entailment || entailment || the man toppled and vrenna cut him down as he tumbled through the air. || vrenna knocked the man over.
neutral || neutral || a number of related measures can be used to measure changes in visibility associated with reduced fine particle concentrations. || the first method is the best one to use. 
entailment || neutral || but i like sixty minutes prime time live um course i have to watch cartoons on saturday morning but not the ninja turtle ones i like the old-timey ones tom and jerry || i watch cartoons on saturday morning with my children.
neutral || contradiction || but if heat is your thing, pay a visit to the grand old meiji-era takegawara public baths, not far from the jr train station. || the grand old meiji-era takegawara public baths are generally too cold to bathe in.
entailment || neutral || it is not overarching moral or political meaning that didion has suddenly discovered. || didion was looking at moral and political viewpoints.
neutral || entailment || thanks to misinformation unrivaled since the pre-fda patent-medicine era, however, alternative therapies have become a $14 billion market, which is growing by as much as 30 percent annually. || unproven alternative medicine is now worth billions due to lack of correct information.
entailment || contradiction || across the street, the unimpressive hollywood wax museum, which features a collection of superstars from jesus christ to sylvester stallone, can also be visited on a joint ticket. || jesus isn't exhibited at the wax museum across the street.
neutral || contradiction || yeah yeah it does eat up the water eats up your water bill i know that || your water bill will go down. 
entailment || neutral || attempts at dramatic entrances were not always successful. || making a dramatic entrance can go very wrong.
entailment || contradiction || any commercial that features some kind of cool car driving through some kind of perfect landscape implicitly  let g.w. (the driver) take the nation (the car) into the future (it's just over the next fashion model). || the commercials remind me of trump.
contradiction || neutral || appropriate for the purpose of the case study? || will this be appropriate for the purpose of the case study or not?
contradiction || entailment ||  ibiza's key location between africa and ancient iberia made it a convenient stopover for mediterranean seafarers, such as the phoenician traders, who called the island ibosim. || ibiza is between africa and iberia.
neutral || neutral || in general, you must receive fair-market value for whatever you spend it on. || the value can be even higher in black market.
neutral || neutral || both grants come from the legal services. || the grants were both over $1,000,000 each.
entailment || entailment ||  the pain began to abate. || the pain began to subside. 
neutral || entailment || a sex scandal on the religious right, no matter how flimsy, seems too good to pass up. || a sex scandal is good to cover.
contradiction || contradiction || the people are a distinct  they have a unique, ancient heritage and a passionate folklore all their own. || there are no people who live here who are more than the 2nd generation to do so.
entailment || contradiction || carey urged the roman catholic church to adopt the open-rail policy followed by anglican churches. || carey disagreed strongly with the anglican churches point of view.
contradiction || contradiction || but you know uh i i i don't know about if you if they was like capital murder and then if they were married then what would you do || if they were not married, you wouldn't do anything?
neutral || contradiction || while many banks continued to pay the same rates in 2001 that they paid in 2000, others reduced the rates they pay. || some banks reduced the rates the pay while others did as well. 
neutral || entailment || some of the slaves were able to gain freedom in return for special services rendered. || some slaves were freed if they offered their services.
entailment || entailment || i know and he pulled that out that is so funny i heard it on the radio i heard the audio portion on the radio in the car but i didn't see it but || that's so funny that he pulled that out, i heard about it on the radio.
contradiction || contradiction || as currently utilized, a pro bono website has two chief functions. || pro bono sites have only one purpose 
entailment || neutral || well we used to just have a little aluminum boat but uh my dad has sold it so he's hunting a boat now i think he's looking into bass tracker || he's looking into getting a new boat. 
contradiction || entailment || i don't want it all over the brick and windows and and the || i don't want that on the windows.
contradiction || contradiction || appropriations--a form of budget authority--permit an entity to incur obligations and make payments and thus are a means of financing the entity's cost. || appropriations are a form of budget concession.
entailment || entailment || and if you enjoy that sort of thing, here's a little juxtaposition game you can play when you spot odd pairings of the bald and the beautiful; it's a betting game called date or daughter? || a game when trying to decipher couples' stance is called date or daughter. 
contradiction || contradiction || she and her husband, prince philip, were very much involved in the interior decoration of the ship, choosing the furnishings for what would be their floating home. || she and prince phillip decided to change the interior decoration of their master bathroom in london.
neutral || neutral || time 's excuse to put john travolta on the  the release of the movie primary colors . travolta stars as the bill clinton character, and time says it's a believable portrait of the president, one that includes all his lecherousness and charm. || travolta won an oscar for when he played bill clinton in the movie.
contradiction || contradiction || speak your mind.  || do not utter a single word.
entailment || neutral || quick as a flash his left hand, the hand which bore the big signet ring, was raised to his lips… . || he had rings on both hands.
entailment || entailment || louis xiv died here in 1715 of gangrene of the leg. || gangrene of the leg was louis xiv's cause of death.
neutral || neutral || no that's true i i just don't know when i'm ever it just seems like there's just never enough time to pick it up and do it you know it's just really hard but i really do en like i said i really enjoy it when i do it's just hard || when i have time, i have to spend ten hours doing it.
contradiction || neutral || but i guess that's that's a different topic isn't it || i will try to stay on topic.
contradiction || contradiction || for individuals and the nation as a whole, saving more means forgoing consumption today in order to consume more in the future. || we can consume as much as we want, and not worry about the future.
contradiction || entailment || both cover packages are basically bullish on the stock market. || both cover packages are worthless on the stock market. 
neutral || neutral || oh they they have that down there that || they provide the same service in the southern states too.
neutral || neutral || the man gives good movie. || the man gives a good movie but still can't find success.
neutral || contradiction || this was the 10 th study since 1975--and all studies showed similar problems. || the results of the 9th study were vastly different from the rest.
contradiction || contradiction || he stood up and peered through the windows of the shed. || he remained seated and ordered someone to look through the windows.
neutral || neutral || i keep trying uh you know you just can't can't give up on it uh i uh i bought some uh plants from michigan bulb company  they send them to you all ready alive || the michigan bulb company sent me some living roses already.
entailment || neutral || 'i do hope you will come around to seeing things my way.' || there was a subtle threat in her voice as she said 'i believe you will come around to seeing things my way.'
neutral || contradiction || you know uh we sit there and and we think that they think the way we think || it has been proven that they think just like us.
neutral || entailment || co-requesters as to the original requester (see commitment to congressional requesters). || the originating document refers to co-requesters in addition to the original requester.
entailment || entailment ||  "well, 'bout shannon. || about shannon.
entailment || neutral || she wore tattered tan robes and her hood protected her from the sun above. || her tattered tan robes and green hood protected her from the sun
neutral || entailment || our results will be brand new data that can fuel solutions to the 'pricing out' of a lawyer's public interest law options due to low salaries and enormous law school loan payments. || our results will be new data that can be used to find solutions to the pricing out of a lawyer's public interest law, due to low salaries and law school debt.
contradiction || contradiction || the book ends with a reflection on the argument between those intellectuals who advocate an organic relationship with the black community and those who aspire to transcend ethnic considerations, suggesting, affably, that the choice must be left, in our individualist culture, for each of us to make for ourselves. || the book ends with no reflection of the argument 
neutral || contradiction || thimi, on the road from kathmandu to bhaktapur, is where papier-mache masks are made and sold. || papier-mache masks are no longer sold in thimi as they used to be. 
entailment || neutral || or long live hallowed germany! || hallowed germany will live on as a superpower of the world.
contradiction || neutral || investment in nonfederal physical property refers to those expenses incurred by the federal government for the purchase, the construction, or the major renovation of physical property owned by state and local governments, including major additions, alterations, and replacements; the purchase of major equipment; and the purchase or improvement of other physical assets. || investment in private property refers to expenses by the government for physical property that will benefit the whole area.
entailment || neutral || it would yes it would  okay are you uh do you know about the topic || are you aware of the different branches of the topic?
neutral || contradiction || not on the keyboard my friend's cat gets on the keyboard you know || the dog will lay on my friends keyboard. 
contradiction || contradiction || the analysis includes information required by section 604, including a description of the need for and purpose of this report and order. || a report and order can be requested by anyone and requires no explanation.
entailment || entailment || yeah it must be on what they're counting on || they must be counting on that.
entailment || contradiction || behind its concrete facade (a result of rebuilding after numerous earthquakes), chios town has a number of clues to its past. || behind its war torn rubble, chios town has a number of clues to genocide.
contradiction || neutral || now there was another rumble of thunder from the falling sky. || a second rumble has heard in the sky.
neutral || neutral ||  and finally he realized that he was thinking of a model--the one thing which is functionally the perfect analogue. || he had a brilliant idea of a model they could build.
contradiction || contradiction || the actuarial present value of benefits allocated to all periods before a valuation year is called actuarial liability. || actuarial liability is the actuarial value of any benefits allocated after the valuation year.
neutral || neutral || by just listening to it and then they're usually going to charge you you know || they'll bill for each minute you spend on the call.
entailment || neutral || if it hits, there's a big syndication upside. || there are high chances that it will hit.
entailment || entailment || the extent to which individual federal agencies currently take such measurements and analyze results varies widely. || different agencies take in different measurements and analysis.
contradiction || contradiction || and very good reasons too, replied poirot.  || poriot remained silent.
neutral || contradiction || which might suggest that real business news is no more popular than it ever was. || real business news is more popular than ever now.
contradiction || entailment || what am i thinking now, child? he asked the question quietly and without sarcasm or anger. || do you know what i'm thinking, child? asked the man quietly without sarcasm or anger.
neutral || neutral || the three newsmagazines reconstruct the heaven's gate suicide, trace the cult's history, and link it to burgeoning new age spiritualism. || the newsmagazines explained the justifications for the cult's actions.
neutral || entailment || in return, the vice president occasionally helps them. || the vice president will help them from time to time.
contradiction || neutral || payne said he and other administrators are looking at how broad the rental inspection program should be and whether the changes will mean more staffing and more money. || the program shouldn't be so big, people cannot afford that. 
contradiction || contradiction || overall, the gao questioned between 5-9 percent of the cases reported because of the lack of adequate financial eligibility documentation and between 7-24 percent of the cases for lack of citizenship or alien status documentation. || the gao didn't question any of the cases at all.
neutral || neutral || it is they keep it at eighty one degrees year-round || eighty one degrees is far too hot for me.
contradiction || neutral || and so i end up lots of time not doing anything at all || four times out of five, i haven't done anything.
entailment || neutral || don't obstruct good ideas just so you can win. || you can win if you choose to obstruct some good ideas.
neutral || neutral || 8 second, a mailer considering drop shipping could know that mail entered at a destination facility is always delivered within one or two days while that entered at a distant location takes much longer and is less predictable. || the change in time is due to the increased travel and sorting.
neutral || entailment || yeah so i i was i was also born in brooklyn so i so i can call myself a brooklyn thug although i'm really not || i was born and raised in brooklyn.
entailment || entailment || it's my cousin's house, by the way. || by the way, it's my cousin's house.
contradiction || contradiction || so the you know just for the doesn't really work out for us too economical to pay twenty dollars for a one way bus ride for these two kids but some days we have to do it some days it just works out to where i don't get into work early enough to get off || it's so cheap to use the bus!
entailment || contradiction || purchases method -a method of accounting for goods, such as materials and supplies, in which the acquisition cost is recognized as an expense upon purchase of the goods rather than upon their use. || material costs must always be recognized when those materials are used.
contradiction || entailment || facing st. stephen's green south is marjorie fitzgibbon's bust of james joyce. || james joyce's bust, made by marjorie fitzgibbon is placed right across st. stephen's green south.
neutral || contradiction || so i try to save that for the weekend i need to get better at it though || i don't do it because i'm so good.
contradiction || neutral || you can buy gemstones loose or set, or have them made up to your own design. || gemstones are only sold loose or in a set.
neutral || contradiction || if you arrive in the lake district without a reservation, contact one of the information offices of the british tourist authority for lists of lodgings and assistance in booking (see accommodations, page 108, and tourist information offices, page 125). || if you arrive in the lake district without a reservation, you're better off leaving because the british tourist authority has no information that could be of use to help you in the area. 
contradiction || contradiction || 15 it was a long time before tuppence went to sleep that night, and, when at length she did, she dreamed that mr. whittington had set her to washing up a pile of esthonia glassware, which bore an unaccountable resemblance to hospital plates!  || that night, tuppence had a severe case of insomnia and stayed up all night. 
contradiction || entailment || yet young and upwardly mobile islanders do go off in search of fortune, and the most successful return from brazil, venezuela, or south africa to build sumptuous villas overlooking the bay of funchal. || people from brazil, venezuela and south africa build villas in the bay of funchal.
contradiction || neutral || they always looked to him for advice and he worked hard. || he was the hardest worker there.
entailment || neutral || certainly it was bolted, replied mary cavendish, rather surprised.  || mary cavendish was assuming something else.
contradiction || entailment || so-called commuter aliens are a special category of lawful permanent residents recognized by the ins regulations as resident aliens of the united states who may reside outside of the united states in a contiguous territory and who return to work in the united states regularly. || commuter aliens are recognized by the ins.
neutral || entailment || guides are optional, but they are sure-footed and will take care of your camera until you reach the top. || the guides will make sure to keep you camera safe.
neutral || neutral || substantial increase in absolute value of own-price elasticity of aggregate household demand from 1986 to 1994, from -0. || the increase in value of household demand was very large.
neutral || entailment || i could feel gazes on my back; people peering out from between curtains, stealing glimpses through letterboxes. || i felt people watching us.
entailment || entailment || imitating elements of the region's wood-and-brick construction, some have the same arched and domed roofs as the inner vimana sanctuaries that you can see at srirangam and at thanjavur . || srirangam and thanjavur have architecture styles that make use of arched and domed roofs.
contradiction || contradiction || there's kind of a selfishness i mean teenagers in our country are kind of kind of a year that parents don't look forward to and and things like that and i think that it would help people to become less self-centered and to be more responsible when you're out on your own trying to um || it is of no consequence if people are less sefish.
contradiction || contradiction || sort out the main features and then return on your own for a closer, calmer look. || you are not able to explore it on your own without a tour guide.
contradiction || entailment || although the music may seem strange to the unaccustomed ear, it certainly won't put you to sleep; cymbals and drums guarantee your alertness. || the music is not typical, and is noted by loud drum beats. 
entailment || contradiction || the piece includes a handy quiz for couples who want to diagnose their viability. || the piece includes a two day quiz for couples.
neutral || neutral || i am staying here, said adrin. || adrin said he would stay until the village was safe.
contradiction || neutral || the vinalope river, spanned by a bridge here, supplies the water that is still carried to the horts in canals dug by the moors. || the water in the vinalope river is still crystal clear and cold. 
entailment || contradiction || honshu, the main island and home to tokyo, kyoto, and osaka, enjoys a temperate climate of unusually distinct  bitter winters and hot, humid summers. || honshu is perpetually in a state of bitter winter.
contradiction || neutral || census bureau's 2000 census. || the census bureau did a census or all americans in 2000
contradiction || entailment || we're not going back.' || no one is going back. 
contradiction || entailment || cars are banned, and all transport is by foot, bicycle, or horse-drawn carriage. || since cars are not allowed all transportation is done by bicycle, foot, or horse-drawn carriages. 
entailment || entailment || it was only when the ainu were progressively driven north up into hokkaido that tohoku was opened up to broader settlement. || tohoku eventually was opened to broader settlement. 
contradiction || entailment || we're not talking conspiracy theory  it's all quite legal, and more or less aboveboard. || it's all on the table and not shady at all. 
entailment || entailment || she died during the battle," said adrin. || adrin told us when she died. 
neutral || neutral || to reach the sights of the outlying districts you have a choice between city buses and taxis; there you will find the israel museum, the knesset (israel's parliament), and the ministries and government offices all spread over the hilltops beyond west jerusalem's business and residential sections. || the government offices are large and grand to behold.
entailment || contradiction || now, obviously this woman, whoever she was, was saved. || now, obviously this woman, whoever she was, is doomed.
neutral || contradiction || in 1963, 0.7 percent of blacks married someone of another race. || most blacks married spouses of a different race.
contradiction || entailment || right you have to question you have to wonder how much tillable land they have uh being an island || exactly, you have to wonder how much of the land is usable given it is an island.
contradiction || entailment || in the center is the most ancient monument in paris, the 23-m- (75-ft-) tall pink-granite obelisk of luxor from the temple of ramses ii, dating back to 1300 b.c. || the obelisk of luxor is the oldest monument in paris.
neutral || contradiction || sightseeing is, of course, only a part of your visit to malaysia. || the only activity you can do on your visit to malaysia is sightseeing.
entailment || neutral || yes, sir, one million dollars!" sir james sat down and subjected julius to a long scrutiny. || sir james and julius were in a middle of a bet involving millions of dollars. 
neutral || contradiction || for what to do it well the parts or the machines depending on what well you can get a two thousand which is uh a bare essential machine to do this with for about twenty three hundred dollars || the machine won't work at all at two thousand dollars, but it will work for twenty three thousand.
neutral || neutral || the sea captain calls out to thank  thank you for the jugs magazines. || the sea captain made an effort to thank the "thank you for the jugs" magazine when they wrote a story that he was very interested in.
contradiction || contradiction || um yeah almost everyday || no we never did that.
contradiction || entailment || it's a mystical town, older than the old empire, where wizards pull fish from caverns so deep in the earth that the water in which they live boils. || the town is old.
entailment || neutral || could jus' be.… || it might just be true.
entailment || neutral || there was nothing like that emotion now. || there are few emotions that come close.
entailment || contradiction || i mean you know especially if you're alone it's on one salary it's terribly hard to pay the bills and pay your house payment and a car payment and insurance is ridiculous || it's east to pay bills by yourself. 
entailment || entailment || luckily for new orleans, his scheme was a remarkable success. || fortunately for new orleans, his plans came to fruition.
contradiction || neutral || i mean one day it was like sixty below zero || it rarely gets so cold, but once it was sixty below zero.
neutral || neutral || well you know even even uh interstate signs and stuff you you can reprint the number of kilometers on on that reflective uh stick on tape stuff that they use to uh || it would be easy to change the interstate numbers from miles to kilometers.
neutral || entailment || the richest deposits grew thinner and we began digging deeper. || we keep going further even though the deposits were thinning out.
entailment || entailment || i can suggest having the ropes made to order. || he suggests having the ropes made to order.
entailment || contradiction || near the ducal tombs is rogier van der weyden's portrait of the third great duke, philippe le bon, with the golden fleece ' the emblem of the chivalrous order that he founded in 1429. || the portrait of philippe le bon was removed from near the ducal tombs and put in a museum.
contradiction || contradiction || therefore, research should not focus on foundational and efficacy trials, but on the practical matter of successfully adapting proven intervention techniques to the emergency department setting. || research should only focus on efficacy trials
neutral || entailment || ten restaurants, pub, and disco. || almost a dozen restaurants.
entailment || contradiction || where uh uh where'd you grow up || where'd you spend your old age?
neutral || entailment || yes it would almost have to be i suppose if you if you had to chose i guess i would i am sure i would take the lethal injection || i suppose if you had to choose, then i guess i would take the lethal injection instead of something else.
entailment || neutral || the capital's main zoo, open daily 9am-5:30pm (6pm during summer), is located in the eastern outskirts in the bois de vincennes (me porte doree). || the capital's main zoo  is on the outskirts in bois de vincennes.
entailment || neutral || no man called 'franklin' has ever been elected president. || there have been presidents named "albert".
neutral || neutral || why?"topham moved and suddenly they were all watching him. || topham revealed that he was the culprit with that reaction.
neutral || neutral || the departments did not identify any other statute or executive order imposing procedural requirements relevant to the rule. || this freed up the departments to set their own procedures.
contradiction || contradiction || are there children who need to be entertained? || there is no entertainment for children.
neutral || entailment || he wore a tunic of dark red, white trousers tucked into soft leather boots, leather gloves, and his rapier low on his left hip. || he had a sword on his hip.
contradiction || entailment || um-hum yeah now i think i've experienced my first cat here that will not eat tuna we have a cat that will not eat tuna um-hum || this is the first time that i've known a cat not to eat tuna.
neutral || contradiction || vrenna! shouted the kal. || kal was whispering into the darkness. 
neutral || neutral || so i do it in the mornings || the mornings are the best time for me.
contradiction || contradiction || lsc co-sponsored a case management system conference in conjunction with the equal justice conference and participated in a session on how to help advocates and staff use the technology tools they already have. || lsc had nothing to do with the equal justice conference, what so ever.
neutral || contradiction || downtown kingston, once a model of british colonial  pomp and circumstance,  is now surrounded by some of the poorest and most densely populated neighborhoods in the city. || downtown kingston has been very poor since the beginning of the city.
contradiction || neutral || the master's only painting on such a massive scale is a triumph of primary reds, blues, and yellows that irresistibly draw you up to the altar. || the master did not use any green or orange paint.
contradiction || neutral || okay well i have two boys actually they're nine years old and uh five and a half actually almost six now and they're in kindergarten and uh fourth grade how about yourself || they are very handsome boys.
contradiction || contradiction || ca'daan had affixed the leather blinders his uncle had given him and across they went. || ca'daan had never met his uncle.
neutral || entailment || there are many conditions that are not visible. || there are many hidden conditions.
contradiction || contradiction || he's 5 got a great black beard, and wears patent leather boots in all weathers!  || he did not have a black beard at all.  
contradiction || contradiction || when he saw her  his thoughts were brought up with a sudden jerk. || he ignored her as she walked by and continued thinking.
contradiction || contradiction || where does it rank in the great man theory of tour bus history? || it doesn't rank anywhere in the great man theory.
neutral || entailment || during their directoire, a new wave of executions ' the white (royalist) terror ' decimated the jacobins and their supporters. || many of the jacobins and their supporters were executed.
neutral || neutral || not until 1249 did king afonso iii (1248-1279) complete the reconquest and secure borders for portugal 250 years before the spanish could do the same. || king afonso was also known as the king of the people.
entailment || contradiction || it will offer weeknight and weekend calling for a flat rate of five cents per minute. || weekends are going to be ten cents per minute.
contradiction || contradiction || farther along the villena road is the round castle of biar, of moorish origin and still in reasonable condition. || there are no buildings anywhere near the villena road.
neutral || neutral || it proved unexpectedly difficult. || over time, the task can get easier.
entailment || neutral || the commission's analyses use both quantifiable and general descriptions of the effects of the rule and alternatives on small entities. || the commission uses multiple kinds of analyses.
contradiction || contradiction || he said, "there'll be a circus around."   || he didn't talk about the circus.
contradiction || contradiction || (some of this information can be found in agency homepages on the web.) || you won't be able to find this information on the agency's website.
entailment || neutral || i don't have that but i've got you know one of the  the uh instant teller cards || my instant teller card isn't as good as that, but it gets the job done.
entailment || contradiction || inside their mouths. || on the outside of their mouth.
contradiction || entailment || i have the head of a sieve.  || all i have left is a part of my sieve.
entailment || contradiction || after subtracting depreciation, which was 12. || depreciation was nineteen.
contradiction || contradiction || (2) the difference for a year or less between the elements (direct material, direct labor, factory overhead) of standard cost and actual cost. || there is no difference between standard cost and actual cost. 
entailment || contradiction || 'they're not worms,' said guierrmo othon, chavez's husband, who is also a lettuce worker. || guierrmo said they are worms. 
neutral || contradiction || what's more, the white-black marriage rate lags significantly behind rates of white intermarriage with other, nonblack races. || there is a higher rate of white-black marriage rates than any other interracial marriages.
neutral || entailment || the degree of control over access to automated systems for data entry, examinations, reviews, and approvals will vary. || the degree of control over access to automated systems will vary.
contradiction || neutral || these are summarized in table 2.3. || the table holds all the info 
entailment || entailment || i didn't even see how small he was until he was dead. || i realized how small he was after he died. 
contradiction || contradiction || i don't know if they do it until yet || i am certain they already started.
entailment || entailment || it might be too soon to write the end-of-an-era story, but one could hint at it, start practicing the inevitable eulogy. || one could hint at the end-of-an-era story.
contradiction || contradiction || i never should have survived that fight. || the fight was not very intense.
neutral || entailment || the music appears to have survived fundamentally from moorish culture, though over the centuries it has accumulated a number of extraneous elements. || today, moorish music still has some of the same elements it had hundreds of years ago.
neutral || neutral || you have not used pear's soap, i see. conrad growled threateningly. || conrad was angry that they had not bathed using pear' soap.
neutral || entailment || we could use another war. || we could use another war in this country.
neutral || neutral || dijon is the capital of burgundy and a center of art and architecture, of culture and learning. || dijon boasts the greatest architecture in all of burgundy. 
entailment || entailment || i don't  he uh he's very he really liked the doors so it was very much his impression too you know so so if you have || he liked the doors quite a bit
entailment || entailment || 65 billion from the section 8 housing program's fiscal year 1998 || the section 8 housing program had a budget of $65 billion.
contradiction || contradiction || for instance, a contract to install a scrubber on a 500 mwe unit at the coleman station in kentucky is scheduled to be completed in early 2004 (approximately 24 months after the contract was announced, which is several months shorter than the installation schedule set forth in exhibit a-1). || the contract for the 500 mwe unit will be completed in early 2009.
entailment || entailment || 27, 2001); and senior executive  retirement trends underscore the importance of succession planning, gao/ggd-00-113br (washington, d.c.: may 12, 2000). ||  senior executive retirement trends underscore the importance of succession planning.
neutral || neutral || time for a rest in the shade of the cypresses, pines, and holm oaks of the palace's boboli gardens, a favorite picnic destination in florence. || each year thousands of people come to this location.
